,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
43,0.791,0.754,0,-3.729,1,0.0569,0.00446,0.0,0.163,0.425,125.014,audio_features,6tS3XVuOyu10897O3ae7bi,spotify:track:6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/tracks/6tS3XVuOyu10897O3ae7bi,https://api.spotify.com/v1/audio-analysis/6tS3XVuOyu10897O3ae7bi,234653,4
44,0.793,0.634,7,-4.807,1,0.0324,0.038,1.76e-06,0.304,0.615,117.023,audio_features,10nqz67NQWWa7XPq7ycihi,spotify:track:10nqz67NQWWa7XPq7ycihi,https://api.spotify.com/v1/tracks/10nqz67NQWWa7XPq7ycihi,https://api.spotify.com/v1/audio-analysis/10nqz67NQWWa7XPq7ycihi,212600,4
45,0.667,0.659,2,-4.932,1,0.0298,0.113,0.0,0.325,0.575,89.128,audio_features,43H3q2NWT9LCuYS1B5IUvV,spotify:track:43H3q2NWT9LCuYS1B5IUvV,https://api.spotify.com/v1/tracks/43H3q2NWT9LCuYS1B5IUvV,https://api.spotify.com/v1/audio-analysis/43H3q2NWT9LCuYS1B5IUvV,203440,4
46,0.617,0.741,2,-3.97,1,0.0311,0.131,0.0,0.0772,0.306,118.984,audio_features,1D4PL9B8gOg78jiHg3FvBb,spotify:track:1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/tracks/1D4PL9B8gOg78jiHg3FvBb,https://api.spotify.com/v1/audio-analysis/1D4PL9B8gOg78jiHg3FvBb,236267,4
47,0.843,0.553,6,-7.348,1,0.0317,0.168,2.66e-06,0.107,0.825,115.997,audio_features,3CI1f4yLwdHzcUnH7o0Xyh,spotify:track:3CI1f4yLwdHzcUnH7o0Xyh,https://api.spotify.com/v1/tracks/3CI1f4yLwdHzcUnH7o0Xyh,https://api.spotify.com/v1/audio-analysis/3CI1f4yLwdHzcUnH7o0Xyh,254320,4
48,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,audio_features,0ug5NqcwcFR2xrfTkc7k8e,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,https://api.spotify.com/v1/tracks/0ug5NqcwcFR2xrfTkc7k8e,https://api.spotify.com/v1/audio-analysis/0ug5NqcwcFR2xrfTkc7k8e,231000,4
49,0.647,0.8,7,-5.384,1,0.165,0.0647,0.0,0.334,0.942,160.078,audio_features,0cqRj7pUJDkTCEsJkx8snD,spotify:track:0cqRj7pUJDkTCEsJkx8snD,https://api.spotify.com/v1/tracks/0cqRj7pUJDkTCEsJkx8snD,https://api.spotify.com/v1/audio-analysis/0cqRj7pUJDkTCEsJkx8snD,219200,4
50,0.57,0.747,4,-3.978,1,0.0426,0.445,0.0,0.219,0.808,164.004,audio_features,0KztjtD3ytzgYjUKIVfBnW,spotify:track:0KztjtD3ytzgYjUKIVfBnW,https://api.spotify.com/v1/tracks/0KztjtD3ytzgYjUKIVfBnW,https://api.spotify.com/v1/audio-analysis/0KztjtD3ytzgYjUKIVfBnW,237747,4
51,0.8,0.535,7,-6.684,1,0.135,0.0713,9.48e-06,0.213,0.451,92.027,audio_features,1ZY1PqizIl78geGM4xWlEA,spotify:track:1ZY1PqizIl78geGM4xWlEA,https://api.spotify.com/v1/tracks/1ZY1PqizIl78geGM4xWlEA,https://api.spotify.com/v1/audio-analysis/1ZY1PqizIl78geGM4xWlEA,209680,4
52,0.626,0.44,10,-6.942,1,0.0232,0.331,0.0,0.146,0.259,99.962,audio_features,7snx7w5WZLHovS0xC45ZfP,spotify:track:7snx7w5WZLHovS0xC45ZfP,https://api.spotify.com/v1/tracks/7snx7w5WZLHovS0xC45ZfP,https://api.spotify.com/v1/audio-analysis/7snx7w5WZLHovS0xC45ZfP,204707,4
