,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
0,1,Harry Styles,As It Was,"H.Styles, T.E.P.Hull, T.Johnson","Kid Harpoon, T.Johnson",Erskine/Columbia,2,1,2022-04-30,17
1,2,Jack Harlow,First Class,"C.B.Bridges, D.Ford, E.Williams, J.T.Harlow, J.Jones, J.L.Harris, J.Velazquez, M.Raheem, N.J.Pabon, R.Chahayed, Charlie Handsome, S.Duhamel, W.Adams","Charlie Handsome, J.T.Harlow, J.L.Harris, R.Chahayed",Generation Now/Atlantic,1,1,2022-04-30,17
2,3,Glass Animals,Heat Waves,D.Bayley,D.Bayley,Wolf Tone/Polydor/Republic,3,1,2022-04-30,17
3,4,Latto,Big Energy,"A.Stephens, L.S.Gottwald, V.Oliver, A.T.R.Smith, T.M.Thomas, Kaine, J.Lowe, A.Belew, C.Frantz, S.Stanley, T.Weymouth","Dr. Luke, V.Oliver",StreamCut/RCA,4,3,2022-04-30,17
4,5,Imagine Dragons X JID,Enemy,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson, J.D.Tranter, D.Route",Mattman & Robin,KIDinaKORNER/Interscope,5,5,2022-04-30,17
5,6,The Kid LAROI & Justin Bieber,Stay,"C.K.J.Howard, J.D.Bieber, M.A.Hoiberg, O.Fedi, B.Slatktin, C.Puth, M.J.Mule, I.DeBoni, S.Rahman","Cashmere Cat, O.Fedi, B.Slatkin, C.Puth",Raymond Braun/Columbia/Def Jam,6,1,2022-04-30,17
6,7,Morgan Wallen,Don't Think Jesus,"J.L.Alexander, M.L.Holman, C.McGill",J.Moi,Big Loud/Mercury/Republic,-,7,2022-04-30,17
7,8,Doja Cat,Woman,"A.Z.Dlamini, D.Sprecher, A.Horn, A.Jones, L.Jay, J.T.Mobisson","Yeti Beats, L.Jay, Crate Classics, A.Jones",Kemosabe/RCA,8,8,2022-04-30,17
8,9,Kodak Black,Super Gremlin,"B.K.Kapri, J.D.Canady, M.A.Timmermann",ATL Jacob,Sniper Gang/Atlantic,7,3,2022-04-30,17
9,10,Justin Bieber,Ghost,"J.D.Bieber, J.D.Bellion, J.K.Johnson, S.Johnson, M.R.Pollack","The Monsters & Strangerz, J.Bellion",Raymond Braun/Def Jam,9,5,2022-04-30,17
10,11,Lil Nas X,Thats What I Want,"M.L.Hill, O.Fedi, B.Slatktin, R.B.Tedder, K.C.Bach","O.Fedi, B.Slatkin, R.B.Tedder, KBeaZy",Columbia,10,8,2022-04-30,17
11,12,Ed Sheeran,Bad Habits,"E.C.Sheeran, F.J.P.Gibson, J.McDaid","FRED, J.McDaid, E.Sheeran, J.Fish, O.S.Sykes",Atlantic,12,2,2022-04-30,17
12,13,GAYLE,abcdefu,"GAYLE, D.B.Pittenger, S.Davis",P.Nappi,Arthouse/Atlantic,11,3,2022-04-30,17
13,14,Ed Sheeran,Shivers,"E.C.Sheeran, J.McDaid, Steve Mac, K.Lavelle","E.Sheeran, Steve Mac, FRED",Atlantic,15,4,2022-04-30,17
