,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
73,74,Gucci Mane Featuring Lil Durk,Rumors,"B.L.Chambers, D.Moore, D.D.Banks, R.D.Davis","DJ MEECH, Tay Keith",Atlantic,75,51,2022-04-16,15
74,75,Parker McCollum,To Be Loved By You,"P.McCollum, R.Akins",Jon Randall,MCA Nashville,62,41,2022-04-16,15
75,76,Sebastian Yatra,Dos Oruguitas,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,65,36,2022-04-16,15
76,77,HARDY,Give Heaven Some Hell,"M.W.Hardy, A.Gorley, B.Johnson, H.Phelps","J.Moi, D.Wells",Big Loud,81,77,2022-04-16,15
77,78,Gunna,Banking On Me,"S.G.Kitchens, L.T.Wayne, P.L.Johnson","Metro Boomin, P.L.Johnson",Gunna/Young Stoner Life/300,82,61,2022-04-16,15
78,79,Gunna Featuring Drake,P Power,"S.G.Kitchens, A.Graham, L.T.Wayne",Metro Boomin,Gunna/Young Stoner Life/300,79,24,2022-04-16,15
79,80,Machine Gun Kelly X blackbear,Make Up Sex,"R.C.Baker, N.A.Long, T.L.Barker, M.T.Musto, O.Fedi","T.L.Barker, O.Fedi",EST19XX/Bad Boy/Interscope,59,59,2022-04-16,15
80,81,Blake Shelton,Come Back As A Country Boy,"M.W.Hardy, J.Thompson, J.M.Schmidt",S.Hendricks,Warner Music Nashville/WMN,97,81,2022-04-16,15
81,82,Scotty McCreery,Damn Strait,"J.A.Collins, T.Tomlinson","F.Rogers, D.Wells, A.Eshuis",Triple Tigers,-,82,2022-04-16,15
82,83,Lil Durk Featuring Future,Petty Too,"D.D.Banks, N.D.Wilburn, R.L.Hughey, Jr., B.O.Hughey, A.Maani","iRoc, DJ Young Pharoah, Zypitano",Alamo,83,26,2022-04-16,15
83,84,YoungBoy Never Broke Again,I Hate YoungBoy,"J.Goldberg, K.D.Gaulden","Cheese, Horrid, K10, Rell",Never Broke Again/Atlantic,-,79,2022-04-16,15
84,85,Lucky Daye,Over,"F.Lai, D.Brown, D.Emile II, C.DeVonish Jr, M.McGregor, I.Barias, C.Haggins, T.Johnson",D'Mile,Keep Cool/RCA,77,77,2022-04-16,15
85,86,Russell Dickerson & Jake Scott,She Likes It,"R.Dickerson, J.Scott, J.Kerr","J.Kerr, J.Scott",Triple Tigers,98,86,2022-04-16,15
86,87,Ari Lennox,Pressure,"C.S.Salter, J.Austin, J.Dupri Mauldin, B.M.Cox, J.Joesy, A.Parrino","J.Dupri, B.M.Cox",Dreamville/Interscope,86,66,2022-04-16,15
87,88,Parmalee,Take My Name,"M.Thomas, A.Gorley, D.Fanning, B.Johnson",D.Fanning,Stoney Creek,-,88,2022-04-16,15
88,89,The Walters,I Love You So,"C.Ekhaus, D.Wells, L.Olson, M.J.Tirabassi, W.Kosner","C.Ekhaus, The Walters",The Walters/Warner,90,71,2022-04-16,15
89,90,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,76,27,2022-04-16,15
90,91,5 Seconds Of Summer,Complete Mess,"M.Clifford, L.Hemmings, C.Hood, A.Irwin",M.Clifford,BMG,-,91,2022-04-16,15
91,92,AnnenMayKantereit & Giant Rooks,Tom's Diner,S.Vega,F.Langer,Vertigo/Mercury/Republic,78,78,2022-04-16,15
92,93,Imagine Dragons,Bones,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson",Mattman & Robin,KIDinaKORNER/Interscope,92,87,2022-04-16,15
93,94,Doja Cat,Get Into It (Yuh),"A.Z.Dlamini, A.Starace, S.Y.T.Cheung","Y2K, Sully",Kemosabe/RCA,-,68,2022-04-16,15
94,95,Rod Wave,By Your Side,"R.M.Green, T.Horton, R.Hartlove","TNTxD, Harto",Alamo,93,58,2022-04-16,15
95,96,YoungBoy Never Broke Again,4KT Baby,"K.D.Gaulden, D.Lebrun, T.Walker, Duhvinci, BJondatrakk, J.Goldberg","DRoc, Xclusive, Duhvinci, BJondatrakk, Cheese",Never Broke Again/Atlantic,-,96,2022-04-16,15
96,97,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods,"Fivio Foreign, Ye, A.Taggart, Delacey, D.A.Abernathy, Jr., A.Lopez, A.Asif, M.Piper, H.Hamaal, C.D.Tejada, M.G.Dean, M.Williams, R.Cubina","Hemz, Ye, Tweek Tune, Mav, AyooAA, Ojivolta, The Chainsmokers, Dem Jointz",RichFish/Columbia,-,46,2022-04-16,15
97,98,Gucci Mane Featuring Key Glock & Young Dolph,Blood All On It,"R.D.Davis, K.O'Brien Gaines, B.Bradley, M.Cathey","BANDPLAY, Doughboy Beatz",1017 Global/Atlantic,-,98,2022-04-16,15
98,99,Rauw Alejandro & Chencho Corleone,Desesperados,"R.A.Ocasio Ruiz, O.J.Del Valle Vega, N.K.Segarra, J.Cedeno Echevarria, L.J.Gonzalez, J.M.Collazo Denis, E.L.Perez Rovira, J.E.Pizarro Ruiz","Dimelo Ninow, Dulce Como Candy, El Zorro, Mr. Naisgai",Duars/Sony Music Latin,-,99,2022-04-16,15
99,100,Yeat,Money So Big,Not Listed,Not Listed,TwizzyRich/Geffen/Interscope,99,95,2022-04-16,15
