,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
0,1,Harry Styles,As It Was,"H.Styles, T.E.P.Hull, T.Johnson","Kid Harpoon, T.Johnson",Erskine/Columbia,-,1,2022-04-16,15
1,2,Glass Animals,Heat Waves,D.Bayley,D.Bayley,Wolf Tone/Polydor/Republic,1,1,2022-04-16,15
2,3,Latto,Big Energy,"A.Stephens, L.S.Gottwald, V.Oliver, A.T.R.Smith, T.M.Thomas, Kaine, J.Lowe, A.Belew, C.Frantz, S.Stanley, T.Weymouth","Dr. Luke, V.Oliver",StreamCut/RCA,3,3,2022-04-16,15
3,4,The Kid LAROI & Justin Bieber,Stay,"C.K.J.Howard, J.D.Bieber, M.A.Hoiberg, O.Fedi, B.Slatktin, C.Puth, M.J.Mule, I.DeBoni, S.Rahman","Cashmere Cat, O.Fedi, B.Slatkin, C.Puth",Raymond Braun/Columbia/Def Jam,2,1,2022-04-16,15
4,5,Imagine Dragons X JID,Enemy,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson, J.D.Tranter, D.Route",Mattman & Robin,KIDinaKORNER/Interscope,5,5,2022-04-16,15
5,6,Kodak Black,Super Gremlin,"B.K.Kapri, J.D.Canady, M.A.Timmermann",ATL Jacob,Sniper Gang/Atlantic,4,3,2022-04-16,15
6,7,Justin Bieber,Ghost,"J.D.Bieber, J.D.Bellion, J.K.Johnson, S.Johnson, M.R.Pollack","The Monsters & Strangerz, J.Bellion",Raymond Braun/Def Jam,6,5,2022-04-16,15
7,8,Doja Cat,Woman,"A.Z.Dlamini, D.Sprecher, A.Horn, A.Jones, L.Jay, J.T.Mobisson","Yeti Beats, L.Jay, Crate Classics, A.Jones",Kemosabe/RCA,10,8,2022-04-16,15
8,9,GAYLE,abcdefu,"GAYLE, D.B.Pittenger, S.Davis",P.Nappi,Arthouse/Atlantic,7,3,2022-04-16,15
9,10,Lil Nas X,Thats What I Want,"M.L.Hill, O.Fedi, B.Slatktin, R.B.Tedder, K.C.Bach","O.Fedi, B.Slatkin, R.B.Tedder, KBeaZy",Columbia,9,8,2022-04-16,15
10,11,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,8,1,2022-04-16,15
11,12,Ed Sheeran,Bad Habits,"E.C.Sheeran, F.J.P.Gibson, J.McDaid","FRED, J.McDaid, E.Sheeran, J.Fish, O.S.Sykes",Atlantic,11,2,2022-04-16,15
12,13,Ed Sheeran,Shivers,"E.C.Sheeran, J.McDaid, Steve Mac, K.Lavelle","E.Sheeran, Steve Mac, FRED",Atlantic,13,4,2022-04-16,15
13,14,Adele,Easy On Me,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,12,1,2022-04-16,15
14,15,Elton John & Dua Lipa,Cold Heart (PNAU Remix),"E.John, B.J.P.Taupin, P.Mayes, N.Littlemore, S.Littlemore","N.Littlemore, P.Mayes, S.Littlemore, C.Thomas, G.Dudgeon",Rocket/Mercury/EMI/Interscope,14,7,2022-04-16,15
15,16,Doja Cat,Need To Know,"A.Z.Dlamini, L.S.Gottwald",Dr. Luke,Kemosabe/RCA,16,8,2022-04-16,15
16,17,Dua Lipa,Levitating,"C.Coffee Jr., S.Kozmeniuk, S.T.Hudson, D.Lipa, J.L.Kirk","KOZ, S.D.Price",Warner,15,2,2022-04-16,15
17,18,The Weeknd & Ariana Grande,Save Your Tears,"A.Tesfaye, A.Balshe, J.Quenneville, Max Martin, O.T.Holter, A.Grande","Max Martin, O.T.Holter, The Weeknd",XO/Republic,17,1,2022-04-16,15
18,19,Post Malone & The Weeknd,One Right Now,"A.R.Post, A.Tesfaye, L.B.Bell, B.D.Lee, A.Bolooki, B.Walsh, D.London","L.Bell, B.D.Lee, A.Bolooki",Republic,19,6,2022-04-16,15
19,20,Lil Nas X & Jack Harlow,Industry Baby,"M.L.Hill, D.M.A.Baptiste, D.C.Snyder, N.Lee, J.T.Harlow, Ye, M.Williams, R.Cubina, R.Lenzo","Ye, Take A Daytrip, N.Lee",Columbia,21,1,2022-04-16,15
20,21,Cody Johnson,'Til You Can't,"B.M.Stennis, M.Rogers",T.W.Willmon,CoJo/Warner Music Nashville/WMN,18,18,2022-04-16,15
21,22,Olivia Rodrigo,Good 4 U,"O.Rodrigo, D.L.Nigro, J.N.Farro, H.Williams","D.Nigro, Alexander 23",Geffen/Interscope,27,1,2022-04-16,15
22,23,Muni Long,Hrs And Hrs,"Priscilla Renea, T.Harrell, H.Aaabi, D.Graham, J.N.Zim, B.John-Baptiste","D.Graham, R.Tiller",Supergiant/Def Jam,24,16,2022-04-16,15
23,24,SZA,I Hate U,"S.I.Rowe, R.Bisel, C.Lang, C.Fayne, D.Wiggins","R.Bisel, C.Lang, thankgod4cody, Dylan Patrice",Top Dawg/RCA,23,7,2022-04-16,15
24,25,Gunna & Future Featuring Young Thug,Pushin P,"S.G.Kitchens, N.D.Wilburn, J.L.Williams, W.T.Glass, L.DePante","Juke Wong, Wheezy",Gunna/Young Stoner Life/300,22,7,2022-04-16,15
25,26,Becky G X Karol G,MAMIII,"R.M.Gomez, D.Echavarria Oviedo, E.Rose, Karol G",Ovy On The Drums,Kemosabe/RCA/Sony Music Latin,26,15,2022-04-16,15
26,27,Luke Combs,Doin' This,"L.Combs, D.Parker, R.Williford","L.Combs, Chip Matthews, J.D.Singleton",River House/Columbia Nashville,28,27,2022-04-16,15
27,28,Camila Cabello Featuring Ed Sheeran,Bam Bam,"K.C.Cabello, E.C.Sheeran, E.B.Frederic, E.Barrera, C.Alara, Scott Harris","Ricky Reed, C.Alara, E.Barrera",Epic,34,23,2022-04-16,15
28,29,Lauren Spencer-Smith,Fingers Crossed,"L.Spencer-Smith, J.Erixson, F.Hall",J.Erixson,Three Name/Island/Republic,31,19,2022-04-16,15
29,30,Megan Thee Stallion & Dua Lipa,Sweetest Pie,"M.J.Pete, J.I.Parker, S.Kozmeniuk, N.A.A.Charles, C.Coffee Jr., D.Lipa","OG Parker, KOZ",1501 Certified/300,32,15,2022-04-16,15
30,31,Charlie Puth,Light Switch,"C.Puth, J.K.Hindlin, J.Torrey",C.Puth,Atlantic,30,27,2022-04-16,15
31,32,Doja Cat & The Weeknd,You Right,"A.Z.Dlamini, L.S.Gottwald, A.Tesfaye",Dr. Luke,Kemosabe/RCA,33,11,2022-04-16,15
32,33,Lil Tjay,In My Head,"Lil Tjay, T.M.Thomas, T.Thomas, J.J.Desrouleaux, J.R.Rotem, K.P.Anderson, K.Jones","Yvng Finxssa, Yoshi",Columbia,-,33,2022-04-16,15
33,34,Cole Swindell / Lainey Wilson,Never Say Never,"J.L.Alexander, C.Swindell, C.McGill",Z.Crowell,Broken Bow/Warner Music Nashville/WMN,36,34,2022-04-16,15
34,35,Walker Hayes,AA,"W.Hayes, S.McAnally, L.Laird","W.Hayes, J.Thibodeau, S.McAnally",Monument,38,35,2022-04-16,15
35,36,Walker Hayes,Fancy Like,"W.Hayes, J.Jenkins, S.Stevens, C.Bartolini","W.Hayes, J.Thibodeau, S.McAnally",Monument/RCA,37,3,2022-04-16,15
36,37,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),"Elle King, M.Johnson","M.Johnson, B.Paddock",RCA/Columbia Nashville,41,37,2022-04-16,15
37,38,Shawn Mendes,When You're Gone,"S.Mendes, J.Shy, Scott Harris","J.Shy, S.Mendes",Island/Republic,-,38,2022-04-16,15
38,39,Jordan Davis Featuring Luke Bryan,Buy Dirt,"J.Davis, J.Davis, M.Jenkins, J.Jenkins",P.DiGiovanni,MCA Nashville,35,22,2022-04-16,15
39,40,Dove Cameron,Boyfriend,"D.Cameron, Delacey, S.Stonestreet, E.Blair",E.Blair,Disruptor/Columbia,47,40,2022-04-16,15
40,41,Lil Durk Featuring Gunna,What Happened To Virgil,"D.D.Banks, S.G.Kitchens, D.G.Jackson",Chopsquad DJ,Alamo,25,22,2022-04-16,15
41,42,Morgan Wallen,Wasted On You,"M.Wallen, E.K.Smith, J.Thompson, Charlie Handsome","J.Moi, J.Durrett",Republic/Big Loud,48,9,2022-04-16,15
42,43,Thomas Rhett,Slow Down Summer,"Thomas Rhett, R.Akins, S.M.Douglas, J.Frasure, A.Gorley","D.Huff, J.Frasure",Valory,55,43,2022-04-16,15
43,44,"Dierks Bentley, BRELAND & HARDY",Beers On Me,"D.Bentley, D.Breland, R.Copperman, L.Dick, A.Gorley, M.W.Hardy, N.Galyon, N.Moon, B.Johnson","R.Copperman, D.Bentley",Capitol Nashville,43,40,2022-04-16,15
44,45,Morgan Wallen,Sand In My Boots,"A.Gorley, M.W.Hardy, J.Osborne",J.Moi,Republic/Big Loud,40,30,2022-04-16,15
45,46,Tate McRae,She's All I Wanna Be,"T.McRae, G.Kurstin",G.Kurstin,RCA,44,44,2022-04-16,15
46,47,Em Beihold,Numb Little Bug,"E.Beihold, N.Lopez, A.DeCaro","D.Caton, Falconry, E.Hill",Moon Projects/Republic,46,46,2022-04-16,15
47,48,CKay,Love Nwantiti (Ah Ah Ah),"C.C.Ekweani, M.C.Alagwu","CKay, Tempoe",Chocolate City/Warner South Africa/Atlantic,45,26,2022-04-16,15
48,49,Tiesto & Ava Max,The Motto,"T.M.Verwest, P.J.R.Rycroft, P.Bowman, C.Valentina, A.A.Koci","Tiesto, Lostboy",Musical Freedom/Atlantic,42,42,2022-04-16,15
49,50,JNR CHOI & Sam Tompkins,To The Moon!,"J.Bhasker, P.M.Lawrence II, A.Levine, A.Winkler, Bruno Mars",Parked Up,JNR CHOI/Black Butter/Epic,54,50,2022-04-16,15
50,51,Jessica Darrow,Surface Pressure,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,39,8,2022-04-16,15
51,52,Sam Hunt,23,"S.L.Hunt, C.La Corte, S.McAnally, J.Osborne",C.La Corte,MCA Nashville,50,50,2022-04-16,15
52,53,Fireboy DML & Ed Sheeran,Peru,"Fireboy DML, E.C.Sheeran, I.Scott IV, Shizzi, K.O.Perine, O.C.Akerele",Shizzi,YBNL Nation/EMPIRE,53,53,2022-04-16,15
53,54,Maren Morris,Circles Around This Town,"M.Morris, R.J.Hurd, Julia Michaels, J.Robbins",G.Kurstin,Columbia Nashville,52,52,2022-04-16,15
54,55,Lil Durk,Ahhh Ha,"D.D.Banks, J.H.Luellen, B.L.Simmons, L.C.Ragland, K.Latos, B.Roke","J.Luellen, TM88, Too Dope!, Nuki, NFE Paris",Alamo,51,18,2022-04-16,15
55,56,Summer Walker & SZA,No Love,"S.M.Walker, S.I.Rowe, S.A.de Sousa Ramos, C.J.Ocansey","FORTHENIGHT, Sonni",LVRN/Interscope,29,13,2022-04-16,15
56,57,Yahritza y Su Esencia,Soy El Unico,Y.Y.Martinez,"R.Ruiz, A.Guerra, J.A.Martinez, Y.Y.Martinez, J.Y.Martinez",Lumbre,20,20,2022-04-16,15
57,58,Jack Harlow,Nail Tech,"J.T.Harlow, M.J.Samuels, S.L.Coleman, J.A.Sweet, A.Sims, J.Velazquez, R.Chahayed, M.D.Jones, D.Ford","Boi-1da, Coleman, J.A.Sweet, Fierce, BabeTruth, R.Chahayed",Generation Now/Atlantic,70,18,2022-04-16,15
58,59,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,"B.E.O'Connell, F.B.O'Connell",Finneas,Pixar/Walt Disney,49,49,2022-04-16,15
59,60,Lil Durk Featuring Morgan Wallen,Broadway Girls,"D.D.Banks, M.Wallen, Charlie Handsome, E.K.Smith, R.H.Block, G.W.Block, J.S.Reeves, A.Izquierdo","Charlie Handsome, J.Reeves",Alamo,57,14,2022-04-16,15
60,61,Eric Church,Heart On Fire,E.Church,J.Joyce,EMI Nashville,61,56,2022-04-16,15
61,62,"Nardo Wick, Lil Baby & Future",Me Or Sum,"H.Walls, J.Guerrieri-Maril, B.J.Zayas, Jr., X.Martinez, D.Flores, E.Dionisopoulos, N.D.Wilburn, D.A.Jones","Z3N, DVLP",Flawless Ent./RCA,66,58,2022-04-16,15
62,63,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl,"C.Pearce, S.McAnally, A.McBryde","S.McAnally, J.OSborne",Atlantic/Warner Music Nashville/Big Machine/WMN,67,63,2022-04-16,15
63,64,ERNEST Featuring Morgan Wallen,Flower Shops,"E.K.Smith, B.D/Burgess, M.L.Holman",J.Moi,Big Loud,71,64,2022-04-16,15
64,65,Tyga X Doja Cat,Freaky Deaky,"A.Z.Dlamini, M.R.Nguyen-Stevenson, L.S.Gottwald, A.L.Cantu, M.L.Crook, B.Hamlin, R.J.Ogren, S.Vega","Dr. Luke, Ryan OG, M.L.Crook, BHam",Kemosabe/Last Kings/RCA/EMPIRE,72,43,2022-04-16,15
65,66,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,60,20,2022-04-16,15
66,67,Kevin Gates Featuring Juicy J,Thinking With My Dick,"J.McArthur, M.K.J.Gilyard, J.M.Houston, T.Thompson",A.McArthur,Bread Winners' Association/Atlantic,56,37,2022-04-16,15
67,68,Nicki Minaj X Lil Baby,Do We Have A Problem?,"O.T.Maraj-Petty, D.A.Jones, J.Goods, A.Woart Jr.",Papi Yerr,Republic,69,2,2022-04-16,15
68,69,Miranda Lambert,If I Was A Cowboy,"M.Lambert, J.Frasure","Jon Randall, L.Dick",Vanner/RCA Nashville,64,64,2022-04-16,15
69,70,Anitta,Envolver,"C.Andres Salazar, F.Montalvo Alicea, J.C.Cruz, J.M.Gonzalez Tavarez, Anitta",Subelo Neo,Warner/Warner Latina,74,70,2022-04-16,15
70,71,JID & J. Cole Featuring Kenny Mason & Sheck Wes,Stick,"D.Route, J.Cole, E.K.Green Jr., K.R.S.C.Fall, A.Orellana, E.Dubock, J.Welch","Araabmuzik, Christo, Beat Butcha",Dreamville/Interscope,-,71,2022-04-16,15
71,72,Jason Aldean,Trouble With A Heartbreak,"B.Beavers, K.M.Allison, T.Kennedy, J.Morgan",M.Knox,Macon/Broken Bow,94,72,2022-04-16,15
72,73,Russ Featuring Ktlyn,Handsomer,"Russ, K.M.Bonner",Russ,DIEMON,63,40,2022-04-16,15
