,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
0,1,Glass Animals,Heat Waves,D.Bayley,D.Bayley,Wolf Tone/Polydor/Republic,1,1,2022-03-26,12
1,2,The Kid LAROI & Justin Bieber,Stay,"C.K.J.Howard, J.D.Bieber, M.A.Hoiberg, O.Fedi, B.Slatktin, C.Puth, M.J.Mule, I.DeBoni, S.Rahman","Cashmere Cat, O.Fedi, B.Slatkin, C.Puth",Raymond Braun/Columbia/Def Jam,5,1,2022-03-26,12
2,3,Kodak Black,Super Gremlin,"B.K.Kapri, J.D.Canady, M.A.Timmermann",ATL Jacob,Sniper Gang/Atlantic,3,3,2022-03-26,12
3,4,GAYLE,abcdefu,"GAYLE, D.B.Pittenger, S.Davis",P.Nappi,Arthouse/Atlantic,4,3,2022-03-26,12
4,5,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,2,1,2022-03-26,12
5,6,Justin Bieber,Ghost,"J.D.Bieber, J.D.Bellion, J.K.Johnson, S.Johnson, M.R.Pollack","The Monsters & Strangerz, J.Bellion",Raymond Braun/Def Jam,7,6,2022-03-26,12
6,7,Adele,Easy On Me,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,6,1,2022-03-26,12
7,8,Imagine Dragons X JID,Enemy,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson, J.D.Tranter, D.Route",Mattman & Robin,KIDinaKORNER/Interscope,12,8,2022-03-26,12
8,9,Lil Nas X,Thats What I Want,"M.L.Hill, O.Fedi, B.Slatktin, R.B.Tedder, K.C.Bach","O.Fedi, B.Slatkin, R.B.Tedder, KBeaZy",Columbia,10,9,2022-03-26,12
9,10,Ed Sheeran,Bad Habits,"E.C.Sheeran, F.J.P.Gibson, J.McDaid","FRED, J.McDaid, E.Sheeran, J.Fish, O.S.Sykes",Atlantic,8,2,2022-03-26,12
10,11,Ed Sheeran,Shivers,"E.C.Sheeran, J.McDaid, Steve Mac, K.Lavelle","E.Sheeran, Steve Mac, FRED",Atlantic,9,4,2022-03-26,12
11,12,Doja Cat,Woman,"A.Z.Dlamini, D.Sprecher, A.Horn, A.Jones, L.Jay, J.T.Mobisson","Yeti Beats, L.Jay, Crate Classics, A.Jones",Kemosabe/RCA,15,12,2022-03-26,12
