,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
25,26,Jordan Davis Featuring Luke Bryan,Buy Dirt,"J.Davis, J.Davis, M.Jenkins, J.Jenkins",P.DiGiovanni,MCA Nashville,31,22,2022-03-12,10
26,27,Cody Johnson,'Til You Can't,"B.M.Stennis, M.Rogers",T.W.Willmon,CoJo/Warner Music Nashville/WMN,25,25,2022-03-12,10
27,28,Charlie Puth,Light Switch,"C.Puth, J.K.Hindlin, J.Torrey",C.Puth,Atlantic,29,28,2022-03-12,10
28,29,Olivia Rodrigo,Good 4 U,"O.Rodrigo, D.L.Nigro, J.N.Farro, H.Williams","D.Nigro, Alexander 23",Geffen/Interscope,27,1,2022-03-12,10
29,30,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,26,20,2022-03-12,10
30,31,Walker Hayes,Fancy Like,"W.Hayes, J.Jenkins, S.Stevens, C.Bartolini","W.Hayes, J.Thibodeau, S.McAnally",Monument/RCA,35,3,2022-03-12,10
31,32,Doja Cat & The Weeknd,You Right,"A.Z.Dlamini, L.S.Gottwald, A.Tesfaye",Dr. Luke,Kemosabe/RCA,33,11,2022-03-12,10
32,33,Morgan Wallen,Sand In My Boots,"A.Gorley, M.W.Hardy, J.Osborne",J.Moi,Republic/Big Loud,30,30,2022-03-12,10
33,34,CKay,Love Nwantiti (Ah Ah Ah),"C.C.Ekweani, M.C.Alagwu","CKay, Tempoe",Chocolate City/Warner South Africa/Atlantic,34,26,2022-03-12,10
34,35,Drake Featuring 21 Savage & Project Pat,Knife Talk,"A.Graham, S.B.A.Joseph, L.T.Wayne, P.Houston, J.M.Houston, R.A.Mayers, P.L.Johnson",Metro Boomin,OVO Sound/Republic,32,4,2022-03-12,10
35,36,Lauren Spencer-Smith,Fingers Crossed,"L.Spencer-Smith, J.Erixson, F.Hall",J.Erixson,Three Name/Island/Republic,39,19,2022-03-12,10
36,37,Luke Combs,Doin' This,"L.Combs, D.Parker, R.Williford","L.Combs, Chip Matthews, J.D.Singleton",River House/Columbia Nashville,49,37,2022-03-12,10
37,38,Wizkid Featuring Justin Bieber & Tems,Essence,"A.I.Balogun, R.Isong, O.E.Oniko, U.E.Oniko, T.Openiyi, J.D.Bieber","P2J, Legendury Beatz",Starboy/RCA,41,9,2022-03-12,10
38,39,Kane Brown,One Mississippi,"K.Brown, J.Frasure, L.Gray, E.K.Smith",D.Huff,RCA Nashville,36,36,2022-03-12,10
39,40,THE ANXIETY: WILLOW & Tyler Cole,Meet Me At Our Spot,"T.Cole, W.Smith","W.Smith, T.Cole",MSFTSMusic/Roc Nation,37,21,2022-03-12,10
40,41,Jack Harlow,Nail Tech,"J.T.Harlow, M.J.Samuels, S.L.Coleman, J.A.Sweet, A.Sims, J.Velazquez, R.Chahayed, M.D.Jones, D.Ford","Boi-1da, Coleman, J.A.Sweet, Fierce, BabeTruth, R.Chahayed",Generation Now/Atlantic,18,18,2022-03-12,10
41,42,"Dierks Bentley, BRELAND & HARDY",Beers On Me,"D.Bentley, D.Breland, R.Copperman, L.Dick, A.Gorley, M.W.Hardy, N.Galyon, N.Moon, B.Johnson","R.Copperman, D.Bentley",Capitol Nashville,52,42,2022-03-12,10
42,43,Tyga X Doja Cat,Freaky Deaky,"A.Z.Dlamini, M.R.Nguyen-Stevenson, L.S.Gottwald, A.L.Cantu, M.L.Crook, B.Hamlin, R.J.Ogren, S.Vega","Dr. Luke, Ryan OG, M.L.Crook, BHam",Kemosabe/Last Kings/RCA/EMPIRE,-,43,2022-03-12,10
43,44,Chris Stapleton,You Should Probably Leave,"C.Stapleton, A.Gorley, C.DuBois","D.Cobb, C.Stapleton",Mercury Nashville,47,28,2022-03-12,10
44,45,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,38,27,2022-03-12,10
45,46,Parker McCollum,To Be Loved By You,"P.McCollum, R.Akins",Jon Randall,MCA Nashville,51,46,2022-03-12,10
46,47,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window,"Bruno Mars, B.Anderson, D.Emile II","Bruno Mars, D'Mile",Aftermath/Atlantic,40,5,2022-03-12,10
47,48,Cole Swindell / Lainey Wilson,Never Say Never,"J.L.Alexander, C.Swindell, C.McGill",Z.Crowell,Broken Bow/Warner Music Nashville/WMN,55,48,2022-03-12,10
48,49,The Weeknd,Sacrifice,"A.Tesfaye, Axwell, S.Angello, S.Ingrosso, C.Nordstrom, Max Martin, O.T.Holter, K.D.McCord","Swedish House Mafia, Max Martin, O.T.Holter, The Weeknd",XO/Republic,48,11,2022-03-12,10
49,50,Walker Hayes,AA,"W.Hayes, S.McAnally, L.Laird","W.Hayes, J.Thibodeau, S.McAnally",Monument,53,50,2022-03-12,10
50,51,Sebastian Yatra,Dos Oruguitas,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,46,36,2022-03-12,10
51,52,Nicki Minaj X Lil Baby,Do We Have A Problem?,"O.T.Maraj-Petty, D.A.Jones, J.Goods, A.Woart Jr.",Papi Yerr,Republic,44,2,2022-03-12,10
52,53,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown,"K.Ballerini, S.McAnally, R.Copperman, J.Robbins, N.Galyon","K.Ballerini, R.Copperman, J.Robbins",Black River,57,53,2022-03-12,10
53,54,Em Beihold,Numb Little Bug,"E.Beihold, N.Lopez, A.DeCaro","D.Caton, Falconry, E.Hill",Moon Projects/Republic,68,54,2022-03-12,10
54,55,Dove Cameron,Boyfriend,"D.Cameron, Delacey, S.Stonestreet, E.Blair",E.Blair,Disruptor/Columbia,65,55,2022-03-12,10
55,56,Sam Hunt,23,"S.L.Hunt, C.La Corte, S.McAnally, J.Osborne",C.La Corte,MCA Nashville,56,53,2022-03-12,10
56,57,Tate McRae,She's All I Wanna Be,"T.McRae, G.Kurstin",G.Kurstin,RCA,62,52,2022-03-12,10
57,58,"Nardo Wick, Lil Baby & Future",Me Or Sum,"H.Walls, J.Guerrieri-Maril, B.J.Zayas, Jr., X.Martinez, D.Flores, E.Dionisopoulos, N.D.Wilburn, D.A.Jones","Z3N, DVLP",Flawless Ent./RCA,63,58,2022-03-12,10
58,59,Lil Durk Featuring Morgan Wallen,Broadway Girls,"D.D.Banks, M.Wallen, Charlie Handsome, E.K.Smith, R.H.Block, G.W.Block, J.S.Reeves, A.Izquierdo","Charlie Handsome, J.Reeves",Alamo,59,14,2022-03-12,10
59,60,NEIKED X Mae Muller X Polo G,Better Days,"V.Radstrom, T.T.Bartlett, von tiger, K.Sang, K.Ivert",NEIKED,Neiked Collective/Capitol,50,23,2022-03-12,10
60,61,Fireboy DML & Ed Sheeran,Peru,"Fireboy DML, E.C.Sheeran, I.Scott IV, Shizzi, K.O.Perine, O.C.Akerele",Shizzi,YBNL Nation/EMPIRE,70,61,2022-03-12,10
61,62,Adele,Oh My God,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,45,5,2022-03-12,10
62,63,Dr. Dre Featuring Snoop Dogg,Still D.R.E.,"A.R.Young, S.C.Carter, M.C.Bradford, S.S.Storch","Dr. Dre, Mel-Man",Aftermath/Interscope/UMe,43,23,2022-03-12,10
63,64,Gucci Mane Featuring Lil Durk,Rumors,"B.L.Chambers, D.Moore, D.D.Banks, R.D.Davis","DJ MEECH, Tay Keith",Atlantic,66,51,2022-03-12,10
64,65,Yung Bleu & Kehlani,Beautiful Lies,"J.Biddle, K.A.Parrish, D.White, C.Jackson, D.Overton","Happie, @ChazzzMusic",Vandross/EMPIRE,74,65,2022-03-12,10
65,66,Ari Lennox,Pressure,"C.S.Salter, J.Austin, J.Dupri Mauldin, B.M.Cox, J.Joesy, A.Parrino","J.Dupri, B.M.Cox",Dreamville/Interscope,67,66,2022-03-12,10
66,67,Eric Church,Heart On Fire,E.Church,J.Joyce,EMI Nashville,58,56,2022-03-12,10
67,68,The Chainsmokers,High,"J.K.Hindlin, N.A.Long, A.Pall, A.Taggart, N.Salomon, J.Halavacs, E.Snoreck","Whethan, The Chainsmokers, N.A.Long",Disruptor/Columbia,69,57,2022-03-12,10
68,69,Maren Morris,Circles Around This Town,"M.Morris, R.J.Hurd, Julia Michaels, J.Robbins",G.Kurstin,Columbia Nashville,76,63,2022-03-12,10
69,70,"Fivio Foreign, Kanye West & Alicia Keys",City Of Gods,"Fivio Foreign, Ye, A.Taggart, Delacey, D.A.Abernathy, Jr., A.Lopez, A.Asif, M.Piper, H.Hamaal, C.D.Tejada, M.G.Dean, M.Williams, R.Cubina","Hemz, Ye, Tweek Tune, Mav, AyooAA, Ojivolta, The Chainsmokers, Dem Jointz",RichFish/Columbia,54,46,2022-03-12,10
70,71,Stephanie Beatriz,Waiting On A Miracle,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,60,48,2022-03-12,10
71,72,Gunna Featuring Drake,P Power,"S.G.Kitchens, A.Graham, L.T.Wayne",Metro Boomin,Gunna/Young Stoner Life/300,75,24,2022-03-12,10
72,73,Tiesto & Ava Max,The Motto,"T.M.Verwest, P.J.R.Rycroft, P.Bowman, C.Valentina, A.A.Koci","Tiesto, Lostboy",Musical Freedom/Atlantic,85,73,2022-03-12,10
73,74,Gunna,Banking On Me,"S.G.Kitchens, L.T.Wayne, P.L.Johnson","Metro Boomin, P.L.Johnson",Gunna/Young Stoner Life/300,61,61,2022-03-12,10
74,75,Ed Sheeran Featuring Taylor Swift,The Joker And The Queen,"E.C.Sheeran, J.McDaid, F.J.P.Gibson, ROMANS, T.Swift","E.Sheeran, J.McDaid, ROMANS",Atlantic,64,21,2022-03-12,10
75,76,Labrinth & Zendaya,I'm Tired,"Labrinth, Zendaya, S.Levinson",Labrinth,HBO/Columbia,-,76,2022-03-12,10
76,77,Miranda Lambert,If I Was A Cowboy,"M.Lambert, J.Frasure","Jon Randall, L.Dick",Vanner/RCA Nashville,79,77,2022-03-12,10
77,78,Acraze Featuring Cherish,Do It To It,"C.Duncker, F.King, N.King Lawrence, R.Richard, S.P.Joseph, J.Williams",Acraze,Thrive/Virgin,82,65,2022-03-12,10
78,79,YoungBoy Never Broke Again,I Hate YoungBoy,"J.Goldberg, K.D.Gaulden","Cheese, Horrid, K10, Rell",Never Broke Again/Atlantic,-,79,2022-03-12,10
79,80,The Walters,I Love You So,"C.Ekhaus, D.Wells, L.Olson, M.J.Tirabassi, W.Kosner","C.Ekhaus, The Walters",The Walters/Warner,80,71,2022-03-12,10
80,81,Kodak Black,Usain Boo,"B.K.Kapri, B.T.Hazzard, D.Celestin, Y.Williams, E.Doyle, K.Robinson","J.Nawakii, Starrah",Atlantic,-,81,2022-03-12,10
81,82,Rod Wave,By Your Side,"R.M.Green, T.Horton, R.Hartlove","TNTxD, Harto",Alamo,83,58,2022-03-12,10
82,83,Juice WRLD,Cigarettes,"J.A.Higgins, N.Mira",N.Mira,Grade A/Interscope,78,43,2022-03-12,10
83,84,Future,Worst Day,"N.D.Wilburn, W.T.Glass, T.B.Currie Jr., J.L.Harris, R.J.Chell, Jr.","Wheezy, Taurus, J.L.Harris, R.Chell",Freebandz/Epic,73,34,2022-03-12,10
84,85,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl,"C.Pearce, S.McAnally, A.McBryde","S.McAnally, J.OSborne",Atlantic/Warner Music Nashville/Big Machine/WMN,87,85,2022-03-12,10
85,86,Moneybagg Yo,Scorpio,"D.D.White, Jr., T.Walker, J.N.Pankey, C.Pearson, J.Rockamore","Skywalker OG, J.Rockamore, YC",CMG/N-Less/Interscope,81,66,2022-03-12,10
86,87,ERNEST Featuring Morgan Wallen,Flower Shops,"E.K.Smith, B.D/Burgess, M.L.Holman",J.Moi,Big Loud,88,68,2022-03-12,10
87,88,Thomas Rhett,Slow Down Summer,"Thomas Rhett, R.Akins, S.M.Douglas, J.Frasure, A.Gorley","D.Huff, J.Frasure",Valory,-,81,2022-03-12,10
88,89,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",All Of You,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,77,71,2022-03-12,10
89,90,Kodak Black,I Wish,"B.K.Kapri, L.A.Daniels, F.Jerkins III, R.Jerkins, W.R.Norwood Jr",Saved By Da Bell,Atlantic,-,90,2022-03-12,10
90,91,Alesso / Katy Perry,When I'm Gone,"A.R.R.Lindblad, A.Garpestad Peck, A.Goodman, Katy Perry, M.R.E.Sibley, N.Cunningham, R.Yacoub","Alesso, Space Primates",Alefune/10:22pm/Astralwerks/Capitol,90,90,2022-03-12,10
91,92,Chris Brown,Iffy,"C.M.Brown, J.I.Parker, S.D.Jimenez, D.Logan, J.Gaines, E.Bellinger, P.Pigliapoco, A.R.Young, C.J.Jackson, Jr., M.Elizondo, Jr., L.Cedeno, E.Perez, T.Mendez, S.M.Marsden","OG Parker, Smash David, Blaq Tuxedo",CBE/RCA,93,71,2022-03-12,10
92,93,Russell Dickerson,Home Sweet,"R.Dickerson, C.Brown, C.Kelley","C.Brown, D.Huff, R.Dickreson",Triple Tigers,94,88,2022-03-12,10
93,94,Nicki Minaj X Lil Baby,Bussin,"O.T.Maraj-Petty, D.A.Jones, J.Goods, C.Palmer, R.Barnes Greer, T.Greenlee","Swaggyono, DJ Tizz",Republic,72,20,2022-03-12,10
94,95,JNR CHOI & Sam Tompkins,To The Moon!,"J.Bhasker, P.M.Lawrence II, A.Levine, A.Winkler, Bruno Mars",Parked Up,JNR CHOI/Black Butter/Epic,-,95,2022-03-12,10
95,96,Mary J. Blige,Good Morning Gorgeous,"M.J.Blige, D.Emile II, H.E.R., D.Brown, T.Thomas","D'Mile, H.E.R.",Mary Jane/300,89,83,2022-03-12,10
96,97,King Von & 21 Savage,Don't Play That,"D.Bennett, S.B.A.Joseph",Kid Hazel,King Von/Only The Family/EMPIRE,86,40,2022-03-12,10
97,98,Saweetie Featuring H.E.R.,Closer,"A.L.Cantu, B.Powell, D.Harper, H.E.R., Kaine, R.J.Ogren, S.Ahana","Swish, Kaine, M.L.Crook, Ryan OG",ICY/Warner,96,89,2022-03-12,10
98,99,Blake Shelton,Come Back As A Country Boy,"M.W.Hardy, J.Thompson, J.M.Schmidt",S.Hendricks,Warner Music Nashville/WMN,92,85,2022-03-12,10
99,100,Lil Shordie Scott,Rocking A Cardigan In Atlanta,J.Turner,3xmadeit,Social Currency/EMPIRE,-,100,2022-03-12,10
