,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
0,1,Glass Animals,Heat Waves,D.Bayley,D.Bayley,Wolf Tone/Polydor/Republic,2,1,2022-03-12,10
1,2,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,1,1,2022-03-12,10
2,3,GAYLE,abcdefu,"GAYLE, D.B.Pittenger, S.Davis",P.Nappi,Arthouse/Atlantic,3,3,2022-03-12,10
3,4,Kodak Black,Super Gremlin,"B.K.Kapri, J.D.Canady, M.A.Timmermann",ATL Jacob,Sniper Gang/Atlantic,5,4,2022-03-12,10
4,5,The Kid LAROI & Justin Bieber,Stay,"C.K.J.Howard, J.D.Bieber, M.A.Hoiberg, O.Fedi, B.Slatktin, C.Puth, M.J.Mule, I.DeBoni, S.Rahman","Cashmere Cat, O.Fedi, B.Slatkin, C.Puth",Raymond Braun/Columbia/Def Jam,6,1,2022-03-12,10
5,6,Adele,Easy On Me,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,4,1,2022-03-12,10
6,7,Justin Bieber,Ghost,"J.D.Bieber, J.D.Bellion, J.K.Johnson, S.Johnson, M.R.Pollack","The Monsters & Strangerz, J.Bellion",Raymond Braun/Def Jam,7,7,2022-03-12,10
7,8,Ed Sheeran,Shivers,"E.C.Sheeran, J.McDaid, Steve Mac, K.Lavelle","E.Sheeran, Steve Mac, FRED",Atlantic,8,4,2022-03-12,10
8,9,Ed Sheeran,Bad Habits,"E.C.Sheeran, F.J.P.Gibson, J.McDaid","FRED, J.McDaid, E.Sheeran, J.Fish, O.S.Sykes",Atlantic,9,2,2022-03-12,10
9,10,Elton John & Dua Lipa,Cold Heart (PNAU Remix),"E.John, B.J.P.Taupin, P.Mayes, N.Littlemore, S.Littlemore","N.Littlemore, P.Mayes, S.Littlemore, C.Thomas, G.Dudgeon",Rocket/Mercury/EMI/Interscope,10,7,2022-03-12,10
10,11,Lil Nas X,Thats What I Want,"M.L.Hill, O.Fedi, B.Slatktin, R.B.Tedder, K.C.Bach","O.Fedi, B.Slatkin, R.B.Tedder, KBeaZy",Columbia,11,9,2022-03-12,10
11,12,Doja Cat,Need To Know,"A.Z.Dlamini, L.S.Gottwald",Dr. Luke,Kemosabe/RCA,12,8,2022-03-12,10
12,13,Imagine Dragons X JID,Enemy,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson, J.D.Tranter, D.Route",Mattman & Robin,KIDinaKORNER/Interscope,20,13,2022-03-12,10
13,14,Gunna & Future Featuring Young Thug,Pushin P,"S.G.Kitchens, N.D.Wilburn, J.L.Williams, W.T.Glass, L.DePante","Juke Wong, Wheezy",Gunna/Young Stoner Life/300,14,7,2022-03-12,10
14,15,Dua Lipa,Levitating,"C.Coffee Jr., S.Kozmeniuk, S.T.Hudson, D.Lipa, J.L.Kirk","KOZ, S.D.Price",Warner,16,2,2022-03-12,10
15,16,Lil Nas X & Jack Harlow,Industry Baby,"M.L.Hill, D.M.A.Baptiste, D.C.Snyder, N.Lee, J.T.Harlow, Ye, M.Williams, R.Cubina, R.Lenzo","Ye, Take A Daytrip, N.Lee",Columbia,15,1,2022-03-12,10
16,17,Latto,Big Energy,"A.Stephens, L.S.Gottwald, V.Oliver, A.T.R.Smith, T.M.Thomas, Kaine, J.Lowe, A.Belew, C.Frantz, S.Stanley, T.Weymouth","Dr. Luke, V.Oliver",StreamCut/RCA,21,17,2022-03-12,10
17,18,Jessica Darrow,Surface Pressure,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,13,8,2022-03-12,10
18,19,Lil Durk,Ahhh Ha,"D.D.Banks, J.H.Luellen, B.L.Simmons, L.C.Ragland, K.Latos, B.Roke","J.Luellen, TM88, Too Dope!, Nuki, NFE Paris",Alamo,42,19,2022-03-12,10
19,20,The Weeknd & Ariana Grande,Save Your Tears,"A.Tesfaye, A.Balshe, J.Quenneville, Max Martin, O.T.Holter, A.Grande","Max Martin, O.T.Holter, The Weeknd",XO/Republic,19,1,2022-03-12,10
20,21,Doja Cat,Woman,"A.Z.Dlamini, D.Sprecher, A.Horn, A.Jones, L.Jay, J.T.Mobisson","Yeti Beats, L.Jay, Crate Classics, A.Jones",Kemosabe/RCA,24,21,2022-03-12,10
21,22,Post Malone & The Weeknd,One Right Now,"A.R.Post, A.Tesfaye, L.B.Bell, B.D.Lee, A.Bolooki, B.Walsh, D.London","L.Bell, B.D.Lee, A.Bolooki",Republic,22,6,2022-03-12,10
22,23,Muni Long,Hrs And Hrs,"Priscilla Renea, T.Harrell, H.Aaabi, D.Graham, J.N.Zim, B.John-Baptiste","D.Graham, R.Tiller",Supergiant/Def Jam,23,16,2022-03-12,10
23,24,Becky G X Karol G,MAMIII,"R.M.Gomez, D.Echavarria Oviedo, E.Rose, Karol G",Ovy On The Drums,Kemosabe/RCA/Sony Music Latin,17,15,2022-03-12,10
24,25,SZA,I Hate U,"S.I.Rowe, R.Bisel, C.Lang, C.Fayne, D.Wiggins","R.Bisel, C.Lang, thankgod4cody, Dylan Patrice",Top Dawg/RCA,28,7,2022-03-12,10
