,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
12,13,Ed Sheeran,Shivers,"E.C.Sheeran, J.McDaid, Steve Mac, K.Lavelle","E.Sheeran, Steve Mac, FRED",Atlantic,13,4,2022-04-09,14
13,14,Elton John & Dua Lipa,Cold Heart (PNAU Remix),"E.John, B.J.P.Taupin, P.Mayes, N.Littlemore, S.Littlemore","N.Littlemore, P.Mayes, S.Littlemore, C.Thomas, G.Dudgeon",Rocket/Mercury/EMI/Interscope,14,7,2022-04-09,14
14,15,Dua Lipa,Levitating,"C.Coffee Jr., S.Kozmeniuk, S.T.Hudson, D.Lipa, J.L.Kirk","KOZ, S.D.Price",Warner,16,2,2022-04-09,14
15,16,Doja Cat,Need To Know,"A.Z.Dlamini, L.S.Gottwald",Dr. Luke,Kemosabe/RCA,15,8,2022-04-09,14
16,17,The Weeknd & Ariana Grande,Save Your Tears,"A.Tesfaye, A.Balshe, J.Quenneville, Max Martin, O.T.Holter, A.Grande","Max Martin, O.T.Holter, The Weeknd",XO/Republic,17,1,2022-04-09,14
17,18,Cody Johnson,'Til You Can't,"B.M.Stennis, M.Rogers",T.W.Willmon,CoJo/Warner Music Nashville/WMN,18,18,2022-04-09,14
18,19,Post Malone & The Weeknd,One Right Now,"A.R.Post, A.Tesfaye, L.B.Bell, B.D.Lee, A.Bolooki, B.Walsh, D.London","L.Bell, B.D.Lee, A.Bolooki",Republic,20,6,2022-04-09,14
19,20,Yahritza y Su Esencia,Soy El Unico,Y.Y.Martinez,"R.Ruiz, A.Guerra, J.A.Martinez, Y.Y.Martinez, J.Y.Martinez",Lumbre,-,20,2022-04-09,14
20,21,Lil Nas X & Jack Harlow,Industry Baby,"M.L.Hill, D.M.A.Baptiste, D.C.Snyder, N.Lee, J.T.Harlow, Ye, M.Williams, R.Cubina, R.Lenzo","Ye, Take A Daytrip, N.Lee",Columbia,21,1,2022-04-09,14
21,22,Gunna & Future Featuring Young Thug,Pushin P,"S.G.Kitchens, N.D.Wilburn, J.L.Williams, W.T.Glass, L.DePante","Juke Wong, Wheezy",Gunna/Young Stoner Life/300,19,7,2022-04-09,14
22,23,SZA,I Hate U,"S.I.Rowe, R.Bisel, C.Lang, C.Fayne, D.Wiggins","R.Bisel, C.Lang, thankgod4cody, Dylan Patrice",Top Dawg/RCA,23,7,2022-04-09,14
23,24,Muni Long,Hrs And Hrs,"Priscilla Renea, T.Harrell, H.Aaabi, D.Graham, J.N.Zim, B.John-Baptiste","D.Graham, R.Tiller",Supergiant/Def Jam,24,16,2022-04-09,14
24,25,Lil Durk Featuring Gunna,What Happened To Virgil,"D.D.Banks, S.G.Kitchens, D.G.Jackson",Chopsquad DJ,Alamo,22,22,2022-04-09,14
25,26,Becky G X Karol G,MAMIII,"R.M.Gomez, D.Echavarria Oviedo, E.Rose, Karol G",Ovy On The Drums,Kemosabe/RCA/Sony Music Latin,26,15,2022-04-09,14
26,27,Olivia Rodrigo,Good 4 U,"O.Rodrigo, D.L.Nigro, J.N.Farro, H.Williams","D.Nigro, Alexander 23",Geffen/Interscope,27,1,2022-04-09,14
27,28,Luke Combs,Doin' This,"L.Combs, D.Parker, R.Williford","L.Combs, Chip Matthews, J.D.Singleton",River House/Columbia Nashville,30,28,2022-04-09,14
28,29,Summer Walker & SZA,No Love,"S.M.Walker, S.I.Rowe, S.A.de Sousa Ramos, C.J.Ocansey","FORTHENIGHT, Sonni",LVRN/Interscope,-,13,2022-04-09,14
29,30,Charlie Puth,Light Switch,"C.Puth, J.K.Hindlin, J.Torrey",C.Puth,Atlantic,29,27,2022-04-09,14
30,31,Lauren Spencer-Smith,Fingers Crossed,"L.Spencer-Smith, J.Erixson, F.Hall",J.Erixson,Three Name/Island/Republic,32,19,2022-04-09,14
31,32,Megan Thee Stallion & Dua Lipa,Sweetest Pie,"M.J.Pete, J.I.Parker, S.Kozmeniuk, N.A.A.Charles, C.Coffee Jr., D.Lipa","OG Parker, KOZ",1501 Certified/300,25,15,2022-04-09,14
32,33,Doja Cat & The Weeknd,You Right,"A.Z.Dlamini, L.S.Gottwald, A.Tesfaye",Dr. Luke,Kemosabe/RCA,31,11,2022-04-09,14
33,34,Camila Cabello Featuring Ed Sheeran,Bam Bam,"K.C.Cabello, E.C.Sheeran, E.B.Frederic, E.Barrera, C.Alara, Scott Harris","Ricky Reed, C.Alara, E.Barrera",Epic,34,23,2022-04-09,14
34,35,Jordan Davis Featuring Luke Bryan,Buy Dirt,"J.Davis, J.Davis, M.Jenkins, J.Jenkins",P.DiGiovanni,MCA Nashville,33,22,2022-04-09,14
35,36,Cole Swindell / Lainey Wilson,Never Say Never,"J.L.Alexander, C.Swindell, C.McGill",Z.Crowell,Broken Bow/Warner Music Nashville/WMN,40,36,2022-04-09,14
36,37,Walker Hayes,Fancy Like,"W.Hayes, J.Jenkins, S.Stevens, C.Bartolini","W.Hayes, J.Thibodeau, S.McAnally",Monument/RCA,36,3,2022-04-09,14
37,38,Walker Hayes,AA,"W.Hayes, S.McAnally, L.Laird","W.Hayes, J.Thibodeau, S.McAnally",Monument,41,38,2022-04-09,14
38,39,Jessica Darrow,Surface Pressure,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,35,8,2022-04-09,14
39,40,Morgan Wallen,Sand In My Boots,"A.Gorley, M.W.Hardy, J.Osborne",J.Moi,Republic/Big Loud,38,30,2022-04-09,14
40,41,Elle King & Miranda Lambert,Drunk (And I Don't Wanna Go Home),"Elle King, M.Johnson","M.Johnson, B.Paddock",RCA/Columbia Nashville,44,41,2022-04-09,14
41,42,Tiesto & Ava Max,The Motto,"T.M.Verwest, P.J.R.Rycroft, P.Bowman, C.Valentina, A.A.Koci","Tiesto, Lostboy",Musical Freedom/Atlantic,51,42,2022-04-09,14
42,43,"Dierks Bentley, BRELAND & HARDY",Beers On Me,"D.Bentley, D.Breland, R.Copperman, L.Dick, A.Gorley, M.W.Hardy, N.Galyon, N.Moon, B.Johnson","R.Copperman, D.Bentley",Capitol Nashville,45,40,2022-04-09,14
43,44,Tate McRae,She's All I Wanna Be,"T.McRae, G.Kurstin",G.Kurstin,RCA,48,44,2022-04-09,14
44,45,CKay,Love Nwantiti (Ah Ah Ah),"C.C.Ekweani, M.C.Alagwu","CKay, Tempoe",Chocolate City/Warner South Africa/Atlantic,39,26,2022-04-09,14
45,46,Em Beihold,Numb Little Bug,"E.Beihold, N.Lopez, A.DeCaro","D.Caton, Falconry, E.Hill",Moon Projects/Republic,49,46,2022-04-09,14
46,47,Dove Cameron,Boyfriend,"D.Cameron, Delacey, S.Stonestreet, E.Blair",E.Blair,Disruptor/Columbia,42,42,2022-04-09,14
47,48,Morgan Wallen,Wasted On You,"M.Wallen, E.K.Smith, J.Thompson, Charlie Handsome","J.Moi, J.Durrett",Republic/Big Loud,-,9,2022-04-09,14
48,49,4*TOWN (From Disney And Pixar's Turning Red),Nobody Like U,"B.E.O'Connell, F.B.O'Connell",Finneas,Pixar/Walt Disney,50,49,2022-04-09,14
49,50,Sam Hunt,23,"S.L.Hunt, C.La Corte, S.McAnally, J.Osborne",C.La Corte,MCA Nashville,53,50,2022-04-09,14
50,51,Lil Durk,Ahhh Ha,"D.D.Banks, J.H.Luellen, B.L.Simmons, L.C.Ragland, K.Latos, B.Roke","J.Luellen, TM88, Too Dope!, Nuki, NFE Paris",Alamo,28,18,2022-04-09,14
51,52,Maren Morris,Circles Around This Town,"M.Morris, R.J.Hurd, Julia Michaels, J.Robbins",G.Kurstin,Columbia Nashville,60,52,2022-04-09,14
52,53,Fireboy DML & Ed Sheeran,Peru,"Fireboy DML, E.C.Sheeran, I.Scott IV, Shizzi, K.O.Perine, O.C.Akerele",Shizzi,YBNL Nation/EMPIRE,54,53,2022-04-09,14
53,54,JNR CHOI & Sam Tompkins,To The Moon!,"J.Bhasker, P.M.Lawrence II, A.Levine, A.Winkler, Bruno Mars",Parked Up,JNR CHOI/Black Butter/Epic,64,54,2022-04-09,14
54,55,Thomas Rhett,Slow Down Summer,"Thomas Rhett, R.Akins, S.M.Douglas, J.Frasure, A.Gorley","D.Huff, J.Frasure",Valory,52,52,2022-04-09,14
55,56,Kevin Gates Featuring Juicy J,Thinking With My Dick,"J.McArthur, M.K.J.Gilyard, J.M.Houston, T.Thompson",A.McArthur,Bread Winners' Association/Atlantic,43,37,2022-04-09,14
56,57,Lil Durk Featuring Morgan Wallen,Broadway Girls,"D.D.Banks, M.Wallen, Charlie Handsome, E.K.Smith, R.H.Block, G.W.Block, J.S.Reeves, A.Izquierdo","Charlie Handsome, J.Reeves",Alamo,47,14,2022-04-09,14
57,58,Nicki Minaj & Fivio Foreign,We Go Up,"O.T.Maraj-Petty, J.Goods, A.Woart Jr., Fivio Foreign, S.Swiatczak, K.Zasada","Papi Yerr, Szamz, Swizzy",Republic,-,58,2022-04-09,14
58,59,Machine Gun Kelly X blackbear,Make Up Sex,"R.C.Baker, N.A.Long, T.L.Barker, M.T.Musto, O.Fedi","T.L.Barker, O.Fedi",EST19XX/Bad Boy/Interscope,-,59,2022-04-09,14
59,60,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,55,20,2022-04-09,14
60,61,Eric Church,Heart On Fire,E.Church,J.Joyce,EMI Nashville,59,56,2022-04-09,14
61,62,Parker McCollum,To Be Loved By You,"P.McCollum, R.Akins",Jon Randall,MCA Nashville,58,41,2022-04-09,14
62,63,Russ Featuring Ktlyn,Handsomer,"Russ, K.M.Bonner",Russ,DIEMON,56,40,2022-04-09,14
63,64,Miranda Lambert,If I Was A Cowboy,"M.Lambert, J.Frasure","Jon Randall, L.Dick",Vanner/RCA Nashville,70,64,2022-04-09,14
64,65,Sebastian Yatra,Dos Oruguitas,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,74,36,2022-04-09,14
65,66,"Nardo Wick, Lil Baby & Future",Me Or Sum,"H.Walls, J.Guerrieri-Maril, B.J.Zayas, Jr., X.Martinez, D.Flores, E.Dionisopoulos, N.D.Wilburn, D.A.Jones","Z3N, DVLP",Flawless Ent./RCA,65,58,2022-04-09,14
66,67,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl,"C.Pearce, S.McAnally, A.McBryde","S.McAnally, J.OSborne",Atlantic/Warner Music Nashville/Big Machine/WMN,69,67,2022-04-09,14
67,68,Machine Gun Kelly & Bring Me The Horizon,Maybe,"R.C.Baker, T.L.Barker, N.A.Long, O.Fedi, S.Basil, B.Allen, O.S.Sykes, J.Fish","T.L.Barker, O.Fedi, SlimXX, BazeXX, N.A.Long",EST19XX/Bad Boy/Interscope,91,68,2022-04-09,14
68,69,Nicki Minaj X Lil Baby,Do We Have A Problem?,"O.T.Maraj-Petty, D.A.Jones, J.Goods, A.Woart Jr.",Papi Yerr,Republic,63,2,2022-04-09,14
69,70,Jack Harlow,Nail Tech,"J.T.Harlow, M.J.Samuels, S.L.Coleman, J.A.Sweet, A.Sims, J.Velazquez, R.Chahayed, M.D.Jones, D.Ford","Boi-1da, Coleman, J.A.Sweet, Fierce, BabeTruth, R.Chahayed",Generation Now/Atlantic,66,18,2022-04-09,14
70,71,ERNEST Featuring Morgan Wallen,Flower Shops,"E.K.Smith, B.D/Burgess, M.L.Holman",J.Moi,Big Loud,67,67,2022-04-09,14
71,72,Tyga X Doja Cat,Freaky Deaky,"A.Z.Dlamini, M.R.Nguyen-Stevenson, L.S.Gottwald, A.L.Cantu, M.L.Crook, B.Hamlin, R.J.Ogren, S.Vega","Dr. Luke, Ryan OG, M.L.Crook, BHam",Kemosabe/Last Kings/RCA/EMPIRE,71,43,2022-04-09,14
72,73,Daddy Yankee & Bad Bunny,X Ultima Vez,"R.L.ayala Rodriguez, B.A.Martinez Ocasio, M.E.Masis Fernandez, J.G.Rivera Vazquez, O.Maldonado Burgos","Daddy Yankee, Tainy",El Cartel/Republic,-,73,2022-04-09,14
73,74,Anitta,Envolver,"C.Andres Salazar, F.Montalvo Alicea, J.C.Cruz, J.M.Gonzalez Tavarez, Anitta",Subelo Neo,Warner/Warner Latina,-,74,2022-04-09,14
74,75,Gucci Mane Featuring Lil Durk,Rumors,"B.L.Chambers, D.Moore, D.D.Banks, R.D.Davis","DJ MEECH, Tay Keith",Atlantic,76,51,2022-04-09,14
75,76,Diane Guerrero & Stephanie Beatriz,What Else Can I Do?,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,73,27,2022-04-09,14
76,77,Lucky Daye,Over,"F.Lai, D.Brown, D.Emile II, C.DeVonish Jr, M.McGregor, I.Barias, C.Haggins, T.Johnson",D'Mile,Keep Cool/RCA,92,77,2022-04-09,14
77,78,AnnenMayKantereit & Giant Rooks,Tom's Diner,S.Vega,F.Langer,Vertigo/Mercury/Republic,84,78,2022-04-09,14
78,79,Gunna Featuring Drake,P Power,"S.G.Kitchens, A.Graham, L.T.Wayne",Metro Boomin,Gunna/Young Stoner Life/300,77,24,2022-04-09,14
79,80,Tate McRae,Chaotic,"T.McRae, G.Kurstin, V.Zaro",G.Kurstin,RCA,-,80,2022-04-09,14
80,81,HARDY,Give Heaven Some Hell,"M.W.Hardy, A.Gorley, B.Johnson, H.Phelps","J.Moi, D.Wells",Big Loud,83,81,2022-04-09,14
81,82,Gunna,Banking On Me,"S.G.Kitchens, L.T.Wayne, P.L.Johnson","Metro Boomin, P.L.Johnson",Gunna/Young Stoner Life/300,89,61,2022-04-09,14
82,83,Lil Durk Featuring Future,Petty Too,"D.D.Banks, N.D.Wilburn, R.L.Hughey, Jr., B.O.Hughey, A.Maani","iRoc, DJ Young Pharoah, Zypitano",Alamo,62,26,2022-04-09,14
83,84,Machine Gun Kelly & WILLOW,Emo Girl,"R.C.Baker, N.A.Long, T.L.Barker, W.Smith, B.Allen, S.Basil","T.L.Barker, N.A.Long",EST19XX/Bad Boy/Interscope,-,77,2022-04-09,14
84,85,The Chainsmokers,High,"J.K.Hindlin, N.A.Long, A.Pall, A.Taggart, N.Salomon, J.Halavacs, E.Snoreck","Whethan, The Chainsmokers, N.A.Long",Disruptor/Columbia,75,57,2022-04-09,14
85,86,Ari Lennox,Pressure,"C.S.Salter, J.Austin, J.Dupri Mauldin, B.M.Cox, J.Joesy, A.Parrino","J.Dupri, B.M.Cox",Dreamville/Interscope,81,66,2022-04-09,14
86,87,Coi Leray & Nicki Minaj,Blick Blick!,"B.Collins, O.T.Maraj-Petty, L.S.Gottwald, R.Valdes, R.J.Ogren, M.L.Crook, Kaine, A.T.R.Smith","Dr. Luke, Rocco Did It Again!, Ryan OG, M.L.Crook",Republic,37,37,2022-04-09,14
87,88,Machine Gun Kelly & Lil Wayne,Ay!,"R.C.Baker, T.L.Barker, S.Basil, B.Allen, G.Hein","T.L.Barker, BazeXX, SlimXX",EST19XX/Bad Boy/Interscope,-,82,2022-04-09,14
88,89,J Balvin & Ed Sheeran,Sigue,"M.E.Masis Fernandez, E.C.Sheeran, J.A.Osorio Balvin, J.R.Quiles Rivera, K.M.Cruz Moreno",Tainy,Atlantic/Colores/Universal Music Latino/UMLE,-,89,2022-04-09,14
89,90,The Walters,I Love You So,"C.Ekhaus, D.Wells, L.Olson, M.J.Tirabassi, W.Kosner","C.Ekhaus, The Walters",The Walters/Warner,85,71,2022-04-09,14
90,91,Kelsea Ballerini Featuring Kenny Chesney,Half Of My Hometown,"K.Ballerini, S.McAnally, R.Copperman, J.Robbins, N.Galyon","K.Ballerini, R.Copperman, J.Robbins",Black River,86,53,2022-04-09,14
91,92,Imagine Dragons,Bones,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson",Mattman & Robin,KIDinaKORNER/Interscope,87,87,2022-04-09,14
92,93,Rod Wave,By Your Side,"R.M.Green, T.Horton, R.Hartlove","TNTxD, Harto",Alamo,88,58,2022-04-09,14
93,94,Jason Aldean,Trouble With A Heartbreak,"B.Beavers, K.M.Allison, T.Kennedy, J.Morgan",M.Knox,Macon/Broken Bow,-,88,2022-04-09,14
94,95,Lil Durk,No Interviews,"D.D.Banks, T.Turner, H.Velasco","Touch Of Trent, Hoops",Alamo,68,30,2022-04-09,14
95,96,Saweetie Featuring H.E.R.,Closer,"A.L.Cantu, B.Powell, D.Harper, H.E.R., Kaine, R.J.Ogren, S.Ahana","Swish, Kaine, M.L.Crook, Ryan OG",ICY/Warner,96,89,2022-04-09,14
96,97,Blake Shelton,Come Back As A Country Boy,"M.W.Hardy, J.Thompson, J.M.Schmidt",S.Hendricks,Warner Music Nashville/WMN,90,85,2022-04-09,14
97,98,Russell Dickerson & Jake Scott,She Likes It,"R.Dickerson, J.Scott, J.Kerr","J.Kerr, J.Scott",Triple Tigers,98,98,2022-04-09,14
98,99,Yeat,Money So Big,Not Listed,Not Listed,TwizzyRich/Geffen/Interscope,95,95,2022-04-09,14
99,100,Yung Bleu & Kehlani,Beautiful Lies,"J.Biddle, K.A.Parrish, D.White, C.Jackson, D.Overton","Happie, @ChazzzMusic",Vandross/EMPIRE,82,65,2022-04-09,14
