,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
81,82,The Chainsmokers,High,"J.K.Hindlin, N.A.Long, A.Pall, A.Taggart, N.Salomon, J.Halavacs, E.Snoreck","Whethan, The Chainsmokers, N.A.Long",Disruptor/Columbia,57,57,2022-02-19,7
82,83,Maren Morris,Circles Around This Town,"M.Morris, R.J.Hurd, Julia Michaels, J.Robbins",G.Kurstin,Columbia Nashville,77,63,2022-02-19,7
83,84,Taylor Swift,All Too Well (Taylor's Version),"T.Swift, L.Rose","C.Rowe, T.Swift, J.M.Antonoff",Republic,75,1,2022-02-19,7
84,85,Miranda Lambert,If I Was A Cowboy,"M.Lambert, J.Frasure","Jon Randall, L.Dick",Vanner/RCA Nashville,82,82,2022-02-19,7
85,86,Doja Cat,Get Into It (Yuh),"A.Z.Dlamini, A.Starace, S.Y.T.Cheung","Y2K, Sully",Kemosabe/RCA,81,68,2022-02-19,7
86,87,$NOT & A$AP Rocky,Doja,"E.Edouard, R.A.Mayers, D.Gillian",Dee B,300,-,87,2022-02-19,7
87,88,Queen Naija & Big Sean,Hate Our Love,"Q.N.Bulls, S.M.Anderson, D.Gibbs, R.Johnson, M.Woods, P.McManus, K.White",M.Woods,Queen Naija/Capitol,-,88,2022-02-19,7
88,89,Blake Shelton,Come Back As A Country Boy,"M.W.Hardy, J.Thompson, J.M.Schmidt",S.Hendricks,Warner Music Nashville/WMN,85,85,2022-02-19,7
89,90,Carly Pearce & Ashley McBryde,Never Wanted To Be That Girl,"C.Pearce, S.McAnally, A.McBryde","S.McAnally, J.OSborne",Atlantic/Warner Music Nashville/Big Machine/WMN,92,90,2022-02-19,7
90,91,Em Beihold,Numb Little Bug,"E.Beihold, N.Lopez, A.DeCaro","D.Caton, Falconry, E.Hill",Moon Projects/Republic,91,91,2022-02-19,7
91,92,Gunna & Future,Too Easy,"S.G.Kitchens, N.D.Wilburn, W.T.Glass, S.Momberger, D.A.Jones","Wheezy, S.Momberger",Gunna/Young Stoner Life/300,76,16,2022-02-19,7
92,93,Tiesto & Ava Max,The Motto,"T.M.Verwest, P.J.R.Rycroft, P.Bowman, C.Valentina, A.A.Koci","Tiesto, Lostboy",Musical Freedom/Atlantic,95,93,2022-02-19,7
93,94,Russell Dickerson,Home Sweet,"R.Dickerson, C.Brown, C.Kelley","C.Brown, D.Huff, R.Dickreson",Triple Tigers,88,88,2022-02-19,7
94,95,ERNEST Featuring Morgan Wallen,Flower Shops,"E.K.Smith, B.D/Burgess, M.L.Holman",J.Moi,Big Loud,93,68,2022-02-19,7
95,96,Chris Brown,Iffy,"C.M.Brown, J.I.Parker, S.D.Jimenez, D.Logan, J.Gaines, E.Bellinger, P.Pigliapoco, A.R.Young, C.J.Jackson, Jr., M.Elizondo, Jr., L.Cedeno, E.Perez, T.Mendez, S.M.Marsden","OG Parker, Smash David, Blaq Tuxedo",CBE/RCA,87,71,2022-02-19,7
96,97,Alesso / Katy Perry,When I'm Gone,"A.R.R.Lindblad, A.Garpestad Peck, A.Goodman, Katy Perry, M.R.E.Sibley, N.Cunningham, R.Yacoub","Alesso, Space Primates",Alefune/10:22pm/Astralwerks/Capitol,-,97,2022-02-19,7
97,98,Drake Featuring Travis Scott,Fair Trade,"A.Graham, Travis Scott, O.Yildrim, J.A.Sweet, E.N.Oshunrinde, R.S.Antoine, C.Day Wilson, Babyface, T.L.Halm, V.J.L.Wade, D.Emile II, B.L.Banks, M.O.Gordon, K.F.Mosovich, M.A.Reddick","OZ, J.A.Sweet, Patron, Travis Scott, Wondagurl",OVO Sound/Republic,90,3,2022-02-19,7
98,99,Megan Thee Stallion,Megan's Piano,"M.J.Pete, J.M.Mason","Lil Ju, New Producer",1501 Certified/300,97,97,2022-02-19,7
99,100,Swedish House Mafia & The Weeknd,Moth To A Flame,"A.Tesfaye, C.Nordstrom, S.Ingrosso, S.Angello, Axwell","Swedish House Mafia, C.Nordstrom",SSA/Republic,-,27,2022-02-19,7
