,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
0,1,Jack Harlow,First Class,"C.B.Bridges, D.Ford, E.Williams, J.T.Harlow, J.Jones, J.L.Harris, J.Velazquez, M.Raheem, N.J.Pabon, R.Chahayed, Charlie Handsome, S.Duhamel, W.Adams","Charlie Handsome, J.T.Harlow, J.L.Harris, R.Chahayed",Generation Now/Atlantic,-,1,2022-04-23,16
1,2,Harry Styles,As It Was,"H.Styles, T.E.P.Hull, T.Johnson","Kid Harpoon, T.Johnson",Erskine/Columbia,1,1,2022-04-23,16
2,3,Glass Animals,Heat Waves,D.Bayley,D.Bayley,Wolf Tone/Polydor/Republic,2,1,2022-04-23,16
3,4,Latto,Big Energy,"A.Stephens, L.S.Gottwald, V.Oliver, A.T.R.Smith, T.M.Thomas, Kaine, J.Lowe, A.Belew, C.Frantz, S.Stanley, T.Weymouth","Dr. Luke, V.Oliver",StreamCut/RCA,3,3,2022-04-23,16
4,5,Imagine Dragons X JID,Enemy,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson, J.D.Tranter, D.Route",Mattman & Robin,KIDinaKORNER/Interscope,5,5,2022-04-23,16
5,6,The Kid LAROI & Justin Bieber,Stay,"C.K.J.Howard, J.D.Bieber, M.A.Hoiberg, O.Fedi, B.Slatktin, C.Puth, M.J.Mule, I.DeBoni, S.Rahman","Cashmere Cat, O.Fedi, B.Slatkin, C.Puth",Raymond Braun/Columbia/Def Jam,4,1,2022-04-23,16
6,7,Kodak Black,Super Gremlin,"B.K.Kapri, J.D.Canady, M.A.Timmermann",ATL Jacob,Sniper Gang/Atlantic,6,3,2022-04-23,16
7,8,Doja Cat,Woman,"A.Z.Dlamini, D.Sprecher, A.Horn, A.Jones, L.Jay, J.T.Mobisson","Yeti Beats, L.Jay, Crate Classics, A.Jones",Kemosabe/RCA,8,8,2022-04-23,16
8,9,Justin Bieber,Ghost,"J.D.Bieber, J.D.Bellion, J.K.Johnson, S.Johnson, M.R.Pollack","The Monsters & Strangerz, J.Bellion",Raymond Braun/Def Jam,7,5,2022-04-23,16
9,10,Lil Nas X,Thats What I Want,"M.L.Hill, O.Fedi, B.Slatktin, R.B.Tedder, K.C.Bach","O.Fedi, B.Slatkin, R.B.Tedder, KBeaZy",Columbia,10,8,2022-04-23,16
