,position,interpret,title,songwriters,producers,label,last_week,peak,week_date,week_nr
0,1,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",We Don't Talk About Bruno,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,1,1,2022-02-26,8
1,2,Glass Animals,Heat Waves,D.Bayley,D.Bayley,Wolf Tone/Polydor/Republic,4,2,2022-02-26,8
2,3,Adele,Easy On Me,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,3,1,2022-02-26,8
3,4,GAYLE,abcdefu,"GAYLE, D.B.Pittenger, S.Davis",P.Nappi,Arthouse/Atlantic,7,4,2022-02-26,8
4,5,The Kid LAROI & Justin Bieber,Stay,"C.K.J.Howard, J.D.Bieber, M.A.Hoiberg, O.Fedi, B.Slatktin, C.Puth, M.J.Mule, I.DeBoni, S.Rahman","Cashmere Cat, O.Fedi, B.Slatkin, C.Puth",Raymond Braun/Columbia/Def Jam,5,1,2022-02-26,8
5,6,Kodak Black,Super Gremlin,"B.K.Kapri, J.D.Canady, M.A.Timmermann",ATL Jacob,Sniper Gang/Atlantic,6,5,2022-02-26,8
6,7,Ed Sheeran,Shivers,"E.C.Sheeran, J.McDaid, Steve Mac, K.Lavelle","E.Sheeran, Steve Mac, FRED",Atlantic,8,4,2022-02-26,8
7,8,Justin Bieber,Ghost,"J.D.Bieber, J.D.Bellion, J.K.Johnson, S.Johnson, M.R.Pollack","The Monsters & Strangerz, J.Bellion",Raymond Braun/Def Jam,9,8,2022-02-26,8
8,9,Lil Nas X,Thats What I Want,"M.L.Hill, O.Fedi, B.Slatktin, R.B.Tedder, K.C.Bach","O.Fedi, B.Slatkin, R.B.Tedder, KBeaZy",Columbia,12,9,2022-02-26,8
9,10,Gunna & Future Featuring Young Thug,Pushin P,"S.G.Kitchens, N.D.Wilburn, J.L.Williams, W.T.Glass, L.DePante","Juke Wong, Wheezy",Gunna/Young Stoner Life/300,11,7,2022-02-26,8
10,11,Jessica Darrow,Surface Pressure,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,10,8,2022-02-26,8
11,12,Elton John & Dua Lipa,Cold Heart (PNAU Remix),"E.John, B.J.P.Taupin, P.Mayes, N.Littlemore, S.Littlemore","N.Littlemore, P.Mayes, S.Littlemore, C.Thomas, G.Dudgeon",Rocket/Mercury/EMI/Interscope,14,7,2022-02-26,8
12,13,Doja Cat,Need To Know,"A.Z.Dlamini, L.S.Gottwald",Dr. Luke,Kemosabe/RCA,13,8,2022-02-26,8
13,14,Ed Sheeran,Bad Habits,"E.C.Sheeran, F.J.P.Gibson, J.McDaid","FRED, J.McDaid, E.Sheeran, J.Fish, O.S.Sykes",Atlantic,15,2,2022-02-26,8
14,15,Becky G X Karol G,MAMIII,"R.M.Gomez, D.Echavarria Oviedo, E.Rose, Karol G",Ovy On The Drums,Kemosabe/RCA/Sony Music Latin,-,15,2022-02-26,8
15,16,Dua Lipa,Levitating,"C.Coffee Jr., S.Kozmeniuk, S.T.Hudson, D.Lipa, J.L.Kirk","KOZ, S.D.Price",Warner,17,2,2022-02-26,8
16,17,Lil Nas X & Jack Harlow,Industry Baby,"M.L.Hill, D.M.A.Baptiste, D.C.Snyder, N.Lee, J.T.Harlow, Ye, M.Williams, R.Cubina, R.Lenzo","Ye, Take A Daytrip, N.Lee",Columbia,16,1,2022-02-26,8
17,18,The Weeknd & Ariana Grande,Save Your Tears,"A.Tesfaye, A.Balshe, J.Quenneville, Max Martin, O.T.Holter, A.Grande","Max Martin, O.T.Holter, The Weeknd",XO/Republic,18,1,2022-02-26,8
18,19,Muni Long,Hrs And Hrs,"Priscilla Renea, T.Harrell, H.Aaabi, D.Graham, J.N.Zim, B.John-Baptiste","D.Graham, R.Tiller",Supergiant/Def Jam,19,16,2022-02-26,8
19,20,Nicki Minaj X Lil Baby,Bussin,"O.T.Maraj-Petty, D.A.Jones, J.Goods, C.Palmer, R.Barnes Greer, T.Greenlee","Swaggyono, DJ Tizz",Republic,-,20,2022-02-26,8
20,21,Ed Sheeran Featuring Taylor Swift,The Joker And The Queen,"E.C.Sheeran, J.McDaid, F.J.P.Gibson, ROMANS, T.Swift","E.Sheeran, J.McDaid, ROMANS",Atlantic,-,21,2022-02-26,8
21,22,Post Malone & The Weeknd,One Right Now,"A.R.Post, A.Tesfaye, L.B.Bell, B.D.Lee, A.Bolooki, B.Walsh, D.London","L.Bell, B.D.Lee, A.Bolooki",Republic,21,6,2022-02-26,8
22,23,Dr. Dre Featuring Snoop Dogg,Still D.R.E.,"A.R.Young, S.C.Carter, M.C.Bradford, S.S.Storch","Dr. Dre, Mel-Man",Aftermath/Interscope/UMe,-,23,2022-02-26,8
23,24,"Stephanie Beatriz, Olga Merediz & Encanto Cast",The Family Madrigal,L.M.Miranda,"L.M.Miranda, M.Elizondo",Walt Disney,20,20,2022-02-26,8
24,25,Latto,Big Energy,"A.Stephens, L.S.Gottwald, V.Oliver, A.T.R.Smith, T.M.Thomas, Kaine, J.Lowe, A.Belew, C.Frantz, S.Stanley, T.Weymouth","Dr. Luke, V.Oliver",StreamCut/RCA,28,25,2022-02-26,8
25,26,Doja Cat,Woman,"A.Z.Dlamini, D.Sprecher, A.Horn, A.Jones, L.Jay, J.T.Mobisson","Yeti Beats, L.Jay, Crate Classics, A.Jones",Kemosabe/RCA,29,26,2022-02-26,8
26,27,Imagine Dragons X JID,Enemy,"D.Reynolds, W.Sermon, B.McKee, D.Platzman, R.L.Fredriksson, M.P.Larsson, J.D.Tranter, D.Route",Mattman & Robin,KIDinaKORNER/Interscope,31,27,2022-02-26,8
27,28,SZA,I Hate U,"S.I.Rowe, R.Bisel, C.Lang, C.Fayne, D.Wiggins","R.Bisel, C.Lang, thankgod4cody, Dylan Patrice",Top Dawg/RCA,24,7,2022-02-26,8
28,29,Adele,Oh My God,"A.L.B.Adkins, G.Kurstin",G.Kurstin,Columbia,23,5,2022-02-26,8
29,30,Olivia Rodrigo,Good 4 U,"O.Rodrigo, D.L.Nigro, J.N.Farro, H.Williams","D.Nigro, Alexander 23",Geffen/Interscope,25,1,2022-02-26,8
30,31,Drake Featuring 21 Savage & Project Pat,Knife Talk,"A.Graham, S.B.A.Joseph, L.T.Wayne, P.Houston, J.M.Houston, R.A.Mayers, P.L.Johnson",Metro Boomin,OVO Sound/Republic,27,4,2022-02-26,8
31,32,Nicki Minaj X Lil Baby,Do We Have A Problem?,"O.T.Maraj-Petty, D.A.Jones, J.Goods, A.Woart Jr.",Papi Yerr,Republic,2,2,2022-02-26,8
32,33,Cody Johnson,'Til You Can't,"B.M.Stennis, M.Rogers",T.W.Willmon,CoJo/Warner Music Nashville/WMN,47,33,2022-02-26,8
33,34,Future,Worst Day,"N.D.Wilburn, W.T.Glass, T.B.Currie Jr., J.L.Harris, R.J.Chell, Jr.","Wheezy, Taurus, J.L.Harris, R.Chell",Freebandz/Epic,-,34,2022-02-26,8
34,35,Silk Sonic (Bruno Mars & Anderson .Paak),Smokin Out The Window,"Bruno Mars, B.Anderson, D.Emile II","Bruno Mars, D'Mile",Aftermath/Atlantic,22,5,2022-02-26,8
